stock,attempted_update_dtm
fbcv,2021-03-20 16:05:28.218701
msge,2021-03-25 13:50:18.690458
msgm,2021-03-25 13:50:24.456787
mson,2021-03-25 13:50:54.456503
mza,2021-03-25 14:00:22.207977
numv,2021-03-25 14:30:55.973862
odfl,2021-03-25 14:41:15.154277
apgb-u,2021-03-28 19:33:46.898919
pcom,2021-03-25 15:10:09.335467
pdt,2021-03-25 15:13:18.736300
ath_a,2021-03-28 19:36:36.690631
ryaay,2021-03-25 16:39:24.766780
sal,2021-03-25 16:43:29.305767
sdg,2021-03-25 16:54:33.498756
seel,2021-03-25 16:56:51.474648
sft,2021-03-25 16:59:21.221213
she,2021-03-25 17:03:02.974897
cubi_f,2021-03-28 19:44:18.386038
ntz,2021-03-25 17:21:21.077705
pam,2021-03-25 17:28:23.573870
a,2021-03-25 17:50:43.656518
rrgb,2021-03-25 17:58:48.390244
curiw,2021-03-28 19:44:26.376495
dtb,2021-03-28 19:45:26.187916
ep_c,2021-03-28 19:50:25.347027
grnvr,2021-03-28 19:58:16.867996
htpa-u,2021-03-28 20:01:39.753601
htpa-ws,2021-03-28 20:01:41.670710
jpm_g,2021-03-28 20:04:54.514740
jupww,2021-03-28 20:05:00.039056
lmrkn,2021-03-28 20:07:37.794080
maacw,2021-03-28 20:09:19.712909
mgr,2021-03-28 20:10:59.913640
mlacw,2021-03-28 20:13:09.336043
motnw,2021-03-28 20:13:23.137832
omeg,2021-03-28 20:23:10.300416
rnrg,2021-03-28 20:46:19.813891
sbg-u,2021-03-28 20:48:43.014082
scpe-ws,2021-03-28 20:49:28.803701
sngxw,2021-03-28 20:52:16.661302
arlp,2021-04-18 13:25:01.779155
snrhw,2021-03-28 20:52:27.814940
star_d,2021-03-28 20:56:47.835812
subz,2021-03-28 20:57:52.686522
aca,2021-04-17 13:28:53.963485
acacu,2021-04-17 13:34:54.158087
acor,2021-04-17 15:07:53.942232
afk,2021-04-17 22:07:00.877870
ajg,2021-04-18 02:01:01.700202
fitb,2021-03-20 16:09:54.431928
al,2021-04-18 02:43:01.679336
ango,2021-04-18 08:52:01.743271
apam,2021-04-18 10:01:01.733064
asaq,2021-04-18 14:34:01.764949
ashx,2021-04-18 15:04:01.783904
apo,2021-04-18 10:40:01.762906
apps,2021-04-18 10:55:01.730382
bme,2021-03-20 15:09:31.308697
boct,2021-03-20 15:10:40.540657
bond,2021-03-20 15:10:52.821359
bq,2021-03-20 15:11:42.269187
bta,2021-03-20 15:14:14.104872
bzm,2021-03-20 15:16:20.602107
flee,2021-03-20 16:11:12.142373
centa,2021-03-20 15:21:29.471774
cfacu,2021-03-20 15:22:09.236048
chic,2021-03-20 15:23:40.692279
chkez,2021-03-20 15:24:01.112447
cik,2021-03-20 15:25:22.686113
