rowid,stock,prv_newhigh_dt,prv_newhigh_amt,recent_newhigh_dt,recent_newhigh_amt,recent_low,increase_as_pct,no_new_high,lowpct_0,lowpct_gt0,lowpct_0_amt,lowpct_gt0_amt,lowafterhigh_gt0pct,highafterlow_gt0pct
1,see,2021-04-20,48.62,2021-04-21,49.24,48.62,0.013,0.133,0.060,0.020,45.70,47.65,0.800,0.200
2,iff,2021-04-19,143.18,2021-04-21,144.03,142.08,0.006,0.133,0.060,0.020,133.56,139.24,0.800,0.200
3,gl,2021-04-19,105.05,2021-04-21,105.58,103.24,0.005,0.137,0.041,0.031,99.01,100.04,0.880,0.120
4,eprt,2021-04-16,25.37,2021-04-21,25.86,25.12,0.019,0.144,0.061,0.018,23.59,24.67,0.810,0.190
5,adc,2021-04-20,71.42,2021-04-21,71.57,70.50,0.002,0.144,0.061,0.018,66.20,69.23,0.810,0.190
6,ess,2021-04-20,296.24,2021-04-21,297.88,293.19,0.006,0.154,0.053,0.019,277.65,287.62,0.870,0.130
7,udr,2021-04-20,46.13,2021-04-21,46.62,45.64,0.011,0.154,0.053,0.019,43.22,44.77,0.870,0.130
8,vmc,2021-04-19,177.10,2021-04-21,177.40,173.00,0.002,0.154,0.051,0.007,164.18,171.79,0.820,0.180
9,nsc,2021-04-20,278.37,2021-04-21,282.71,272.68,0.016,0.156,0.057,0.024,257.14,266.14,0.880,0.120
10,itt,2021-04-16,93.19,2021-04-21,93.31,91.75,0.001,0.156,0.057,0.024,86.52,89.55,0.880,0.120
11,adp,2021-04-20,193.97,2021-04-21,194.56,193.00,0.003,0.156,0.057,0.024,182.00,188.37,0.880,0.120
12,aap,2021-04-20,198.52,2021-04-21,202.54,194.45,0.020,0.160,0.068,0.019,181.23,190.76,0.893,0.108
13,aiz,2021-04-20,154.94,2021-04-21,156.03,153.95,0.007,0.160,0.073,0.016,142.71,151.49,0.911,0.089
14,all,2021-04-20,123.57,2021-04-21,124.24,123.19,0.005,0.160,0.068,0.020,114.81,120.73,0.885,0.115
15,axs,2021-04-20,54.25,2021-04-21,54.71,53.48,0.008,0.160,0.067,0.020,49.90,52.41,0.880,0.120
16,bntx,2021-04-20,157.30,2021-04-21,162.07,152.12,0.030,0.160,0.067,0.020,141.93,149.08,0.880,0.120
17,cpt,2021-04-20,119.76,2021-04-21,121.23,119.47,0.012,0.160,0.068,0.019,111.35,117.20,0.893,0.108
18,dre,2021-04-20,45.93,2021-04-21,46.00,45.39,0.002,0.160,0.067,0.020,42.35,44.48,0.880,0.120
19,nxrt,2021-04-20,50.81,2021-04-21,51.10,50.01,0.006,0.160,0.067,0.020,46.66,49.01,0.880,0.120
20,o,2021-04-20,68.67,2021-04-21,69.54,68.44,0.013,0.160,0.067,0.020,63.85,67.07,0.880,0.120
21,peak,2021-04-20,34.16,2021-04-21,34.44,33.85,0.008,0.160,0.067,0.020,31.58,33.17,0.880,0.120
22,rexr,2021-04-20,56.56,2021-04-21,57.23,56.31,0.012,0.160,0.067,0.020,52.54,55.18,0.880,0.120
23,ste,2021-04-20,211.26,2021-04-21,212.65,208.98,0.007,0.160,0.067,0.020,194.98,204.80,0.880,0.120
24,tsn,2021-04-20,79.28,2021-04-21,79.69,78.40,0.005,0.160,0.068,0.020,73.07,76.83,0.885,0.115
25,xray,2021-04-20,65.94,2021-04-21,66.29,65.20,0.005,0.160,0.061,0.023,61.22,63.70,0.840,0.160
26,lhx,2021-04-16,212.00,2021-04-21,212.21,209.49,0.001,0.160,0.061,0.023,196.71,204.67,0.840,0.160
27,mco,2021-04-20,325.23,2021-04-21,327.24,323.68,0.006,0.160,0.073,0.016,300.05,318.50,0.911,0.089
28,mdu,2021-04-20,33.18,2021-04-21,33.47,32.86,0.009,0.160,0.068,0.020,30.63,32.20,0.885,0.115
29,neog,2021-04-20,97.36,2021-04-21,97.54,94.41,0.002,0.160,0.073,0.016,87.52,92.90,0.911,0.089
30,nsa,2021-04-20,44.33,2021-04-21,44.43,43.75,0.002,0.160,0.067,0.020,40.82,42.88,0.880,0.120
31,hsy,2021-04-20,163.19,2021-04-21,163.99,162.79,0.005,0.164,0.055,0.035,153.84,157.09,0.830,0.170
32,ibm,2021-04-20,139.77,2021-04-21,143.73,137.71,0.028,0.164,0.055,0.035,130.14,132.89,0.830,0.170
33,wri,2021-04-16,31.13,2021-04-21,31.13,30.16,0.000,0.165,0.088,0.016,27.51,29.68,0.800,0.200
34,khc,2021-04-16,41.47,2021-04-21,41.64,40.77,0.004,0.165,0.058,0.023,38.41,39.83,0.850,0.150
35,unp,2021-04-16,225.78,2021-04-21,226.21,219.69,0.002,0.165,0.058,0.023,206.95,214.64,0.850,0.150
36,ifft,2021-04-20,50.00,2021-04-21,50.25,49.55,0.005,0.165,0.082,0.020,45.49,48.56,0.880,0.130
37,awi,2021-04-20,99.05,2021-04-21,99.46,97.09,0.004,0.167,0.090,0.019,88.35,95.25,0.860,0.140
